Série,% Acertos,Disciplina,Conteúdo,Descritor
5º ANO A,68.2%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q2),Ler informações e dados apresentados em tabelas
5º ANO B,76.0%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q3),Ler informações e dados apresentados em gráficos (particularmente em gráficos de colunas).
5º ANO B,76.0%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q4),Ler informações e dados apresentados em tabelas
5º ANO D,89.5%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q5),Ler informações e dados apresentados em gráficos (particularmente em gráficos de colunas).
5º ANO D,77.2%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q6),Ler informações e dados apresentados em tabelas
5º ANO A,54.5%,Matemática,Perímetro (Q1),"Resolver problema envolvendo o cálculo do perímetro de figuras planas, desenhadas em malhas quadriculadas."
5º ANO B,54.0%,Matemática,Perímetro (Q2),"Resolver problema envolvendo o cálculo do perímetro de figuras planas, desenhadas em malhas quadriculadas."
5º ANO D,59.6%,Matemática,Perímetro (Q3),"Resolver problema envolvendo o cálculo do perímetro de figuras planas, desenhadas em malhas quadriculadas."
5º ANO A,36.4%,Matemática,Polígonos regulares e polígonos não regulares. (Q1),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO B,44.0%,Matemática,Polígonos regulares e polígonos não regulares. (Q2),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO D,28.1%,Matemática,Polígonos regulares e polígonos não regulares. (Q3),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO A,63.6%,Matemática,Proporcionalidade (Q1),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO B,52.0%,Matemática,Proporcionalidade (Q2),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO D,77.2%,Matemática,Proporcionalidade (Q3),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO A,63.6%,Matemática,Relações de igualdade (Q1),Calcular o resultado de uma multiplicação ou divisão de números naturais.
5º ANO B,64.0%,Matemática,Relações de igualdade (Q2),Calcular o resultado de uma multiplicação ou divisão de números naturais.
5º ANO D,80.7%,Matemática,Relações de igualdade (Q3),Calcular o resultado de uma multiplicação ou divisão de números naturais.
5º ANO A,54.5%,Matemática,Situações-problema do campo multiplicativo. (Q1),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO B,56.0%,Matemática,Situações-problema do campo multiplicativo. (Q2),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO D,61.4%,Matemática,Situações-problema do campo multiplicativo. (Q3),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
